HeaderID,Bay_Segment
1019,Hillsborough Bay
1021,Old Tampa Bay
1022,Old Tampa Bay
1023,Old Tampa Bay
1024,Old Tampa Bay
1025,Boca Ciega Bay
1026,Boca Ciega Bay
1027,Old Tampa Bay
1028,Old Tampa Bay
1030,Old Tampa Bay
1031,Old Tampa Bay
1032,Boca Ciega Bay
1033,Old Tampa Bay
1035,Boca Ciega Bay
1036,Old Tampa Bay
1037,Old Tampa Bay
1038,Boca Ciega Bay
1039,Boca Ciega Bay
1040,Old Tampa Bay
1041,Boca Ciega Bay
1043,Boca Ciega Bay
1045,Boca Ciega Bay
1046,Not Entered
1051,Old Tampa Bay
1052,Old Tampa Bay
1053,Old Tampa Bay
1054,Old Tampa Bay
1056,Hillsborough Bay
1057,All Segments
1058,All Segments
1059,All Segments
1060,Hillsborough Bay
1061,All Segments
1062,Hillsborough Bay
1063,Hillsborough Bay
1064,Hillsborough Bay
1065,Hillsborough Bay
1066,Middle Tampa Bay
1067,Hillsborough Bay
1068,All Segments
1069,Hillsborough Bay
1070,Hillsborough Bay
1071,Hillsborough Bay
1072,Hillsborough Bay
1073,Hillsborough Bay
1074,Hillsborough Bay
1075,Hillsborough Bay
1076,Hillsborough Bay
1077,Hillsborough Bay
1078,Hillsborough Bay
1079,Hillsborough Bay
1080,Hillsborough Bay
1081,Hillsborough Bay
1082,Hillsborough Bay
1083,Hillsborough Bay
1144,Hillsborough Bay
1148,Not Entered
1149,Old Tampa Bay
1152,Old Tampa Bay
1155,Hillsborough Bay
1159,Hillsborough Bay
1160,Hillsborough Bay
1164,Hillsborough Bay
1165,Manatee River
1166,Manatee River
1169,Hillsborough Bay
1170,Not Entered
1173,Hillsborough Bay
1175,Hillsborough Bay
1176,Hillsborough Bay
1177,Hillsborough Bay
1178,Hillsborough Bay
1179,Hillsborough Bay
1182,Hillsborough Bay
1184,Hillsborough Bay
1186,Hillsborough Bay
1187,Hillsborough Bay
1189,Hillsborough Bay
1190,Hillsborough Bay
1192,Hillsborough Bay
1193,Manatee River
1194,Manatee River
1195,Hillsborough Bay
1197,Hillsborough Bay
1198,Hillsborough Bay
1200,Hillsborough Bay
1201,Hillsborough Bay
1202,Boca Ciega Bay
1203,Hillsborough Bay
1204,Hillsborough Bay
1205,Old Tampa Bay
1206,Hillsborough Bay
1207,Hillsborough Bay
1208,Old Tampa Bay
1209,Hillsborough Bay
1210,Hillsborough Bay
1211,Old Tampa Bay
1212,Old Tampa Bay
1213,Hillsborough Bay
1214,Hillsborough Bay
1215,Hillsborough Bay
1216,Hillsborough Bay
1217,Hillsborough Bay
1218,All Segments
1219,Hillsborough Bay
1220,Old Tampa Bay
1221,Hillsborough Bay
1222,Hillsborough Bay
1223,Hillsborough Bay
1224,Hillsborough Bay
1226,Old Tampa Bay
1227,Hillsborough Bay
1228,Hillsborough Bay
1229,Hillsborough Bay
1230,Hillsborough Bay
1231,Hillsborough Bay
1232,Hillsborough Bay
1233,Hillsborough Bay
1235,Old Tampa Bay
1236,Old Tampa Bay
1241,Manatee River
1242,Manatee River
1243,Manatee River
1245,Manatee River
1246,Manatee River
1247,Manatee River
1248,Old Tampa Bay
1249,Manatee River
1250,Old Tampa Bay
1251,Hillsborough Bay
1252,Boca Ciega Bay
1253,Boca Ciega Bay
1254,Not Entered
1255,Hillsborough Bay
1256,Lower Tampa Bay
1257,Old Tampa Bay
1258,Middle Tampa Bay
1259,Boca Ciega Bay
1260,Manatee River
1261,Manatee River
1262,Manatee River
1263,Middle Tampa Bay
1264,Manatee River
1265,Boca Ciega Bay
1266,Boca Ciega Bay
1267,Boca Ciega Bay
1268,Old Tampa Bay
1269,Boca Ciega Bay
1270,Boca Ciega Bay
1271,Boca Ciega Bay
1272,Boca Ciega Bay
1273,Old Tampa Bay
1274,Old Tampa Bay
1275,Hillsborough Bay
1277,Hillsborough Bay
1278,Old Tampa Bay
1279,Old Tampa Bay
1281,Manatee River
1282,Hillsborough Bay
1283,Hillsborough Bay
1284,Hillsborough Bay
1285,Hillsborough Bay
1286,Hillsborough Bay
1287,Hillsborough Bay
1288,Hillsborough Bay
1289,Hillsborough Bay
1290,Hillsborough Bay
1291,Hillsborough Bay
1292,Hillsborough Bay
1293,Hillsborough Bay
1294,Hillsborough Bay
1295,Hillsborough Bay
1296,Hillsborough Bay
1297,Hillsborough Bay
1298,Old Tampa Bay
1299,Boca Ciega Bay
1300,Hillsborough Bay
1301,Hillsborough Bay
1302,Hillsborough Bay
1303,Hillsborough Bay
1304,Old Tampa Bay
1305,Middle Tampa Bay
1306,Middle Tampa Bay
1307,Boca Ciega Bay
1308,Not Entered
1309,Old Tampa Bay
1311,Old Tampa Bay
1312,Lower Tampa Bay
1313,Old Tampa Bay
1314,Hillsborough Bay
1317,Hillsborough Bay
1326,Middle Tampa Bay
1327,Hillsborough Bay
1328,Hillsborough Bay
1331,Hillsborough Bay
1332,Manatee River
1335,Manatee River
1336,Hillsborough Bay
1337,Hillsborough Bay
1339,Hillsborough Bay
1343,Boca Ciega Bay
1345,Old Tampa Bay
1346,Old Tampa Bay
1347,Boca Ciega Bay
1350,Manatee River
1351,Manatee River
1353,Lower Tampa Bay
1354,Manatee River
1357,Old Tampa Bay
1358,Old Tampa Bay
1362,Old Tampa Bay
1365,Boca Ciega Bay
1366,Hillsborough Bay
1368,Old Tampa Bay
1369,Old Tampa Bay
1370,Old Tampa Bay
1371,Old Tampa Bay
1372,Old Tampa Bay
1374,Middle Tampa Bay
1375,Boca Ciega Bay
1376,Old Tampa Bay
1377,Middle Tampa Bay
1378,Boca Ciega Bay
1379,Old Tampa Bay
1380,Middle Tampa Bay
1381,Boca Ciega Bay
1382,Boca Ciega Bay
1383,Old Tampa Bay
1384,Boca Ciega Bay
1384,Boca Ciega Bay
1384,Old Tampa Bay
1385,Boca Ciega Bay
1386,Boca Ciega Bay
1387,Boca Ciega Bay
1390,Old Tampa Bay
1391,Old Tampa Bay
1392,Old Tampa Bay
1393,Old Tampa Bay
1394,Old Tampa Bay
